user_id,topic1_id,topic2_id,topic3_id,topic4_id,select_time,select_status
20161963,2022wl023,2022wl026,2022wl040,2022wl054,2021/11/11,1
20161963,2022wl024,2022wl007,2022wl059,2022wl012,2021/11/17,2
20161975,2022wl033,2022wl040,2022wl012,2022wl013,2021/11/12,1
20161993,2022wl022,2022wl053,2022wl023,2022wl040,2021/11/11,1
20162020,2022wl022,2022wl039,2022wl040,2022wl051,2021/11/11,1
20162020,2022wl058,2022wl056,2022wl045,2022wl024,2021/11/16,2
20172281,2022xj010,2022xj018,2022xj019,2022xj001,2021/11/11,1
20172359,2022wl004,2022wl034,2022wl040,2022wl019,2021/11/11,1
20172376,2022wl040,2022wl023,2022wl053,2022wl026,2021/11/11,1
20172378,2022wl040,2022wl022,2022wl061,2022wl039,2021/11/11,1
20172378,2022wl012,2022wl045,2022wl056,2022wl058,2021/11/16,2
20182289,2022xj049,2022xj007,2022xj056,2022xj037,2021/11/11,1
20182290,2022xj067,2022xj003,2022xj019,2022xj033,2021/11/12,1
20182291,2022xj004,2022xj005,2022xj006,2022xj007,2021/11/12,1
20182291,2022xj060,2022xj069,2022xj075,2022xj076,2021/11/17,2
20182292,2022xj006,2022xj005,2022xj032,2022xj033,2021/11/11,1
20182294,2022xj014,2022xj006,2022xj056,2022xj027,2021/11/11,1
20182295,2022xj021,2022xj049,2022xj060,2022xj036,2021/11/12,1
20182296,2022xj021,2022xj041,2022xj006,2022xj047,2021/11/12,1
20182297,2022xj074,2022xj076,2022xj029,2022xj021,2021/11/11,1
20182299,2022xj052,2022xj040,2022xj006,2022xj002,2021/11/12,1
20182301,2022xj066,2022xj008,2022xj067,2022xj032,2021/11/12,1
20182302,2022xj037,2022xj049,2022xj054,2022xj033,2021/11/12,1
20182303,2022xj065,2022xj028,2022xj033,2022xj071,2021/11/12,1
20182305,2022xj064,2022xj039,2022xj002,2022xj049,2021/11/11,1
20182308,2022xj027,2022xj043,2022xj019,2022xj018,2021/11/11,1
20182309,2022xj071,2022xj052,2022xj064,2022xj039,2021/11/11,1
20182310,2022xj006,2022xj007,2022xj032,2022xj037,2021/11/11,1
20182310,2022xj063,2022xj016,2022xj018,2022xj026,2021/11/16,2
20182311,2022xj024,2022xj025,2022xj064,2022xj059,2021/11/12,1
20182312,2022xj007,2022xj005,2022xj006,2022xj043,2021/11/12,1
20182312,2022xj038,2022xj001,2022xj076,2022xj035,2021/11/16,2
20182313,2022xj013,2022xj074,2022xj044,2022xj066,2021/11/11,1
20182314,2022xj008,2022xj044,2022xj054,2022xj019,2021/11/11,1
20182315,2022xj005,2022xj006,2022xj019,2022xj001,2021/11/12,1
20182316,2022xj054,2022xj064,2022xj005,2022xj061,2021/11/11,1
20182317,2022xj025,2022xj064,2022xj062,2022xj037,2021/11/11,1
20182319,2022xj054,2022xj067,2022xj025,2022xj024,2021/11/11,1
