topic_id,topic_name,topic_whether_background,topic_havebg_id,topic_havebg_else,topic_category,topic_synopsis,topic_remark,topic_teacher,topic_whether_pass,topic_major,topic_time
2022xj021,分类算法在疾病诊断中的应用,FALSE,,,工程实践/应用型,"分类问题是数据挖掘处理的一个重要组成部分，在机器学习领域，分类问题通常被认为属于监督式学习(supervised learning)，也就是说，分类问题的目标是根据已知样本的某些特征，判断一个新的样本属于哪种已知的样本类。

分类算法在医学、生物学和经济管理等诸多领域都有着广泛的应用。在医学领域，医生和学者们对心血管功能进行定量的判别与预测；探讨肺癌细胞核的有关体视学参数在肺癌诊断分型方面的意义；对因大肠癌而住院的病历按治愈和未愈分两组进行非条件多因素分类分析；通过分类探讨进展期胃癌淋巴结的转移规律等。

在本毕业设计中，我们将详细学习几种主要的分类算法及其在计算机上的实现，并结合具体问题探讨其应用。比如我们将针对乳腺癌数据，根据细胞组织细针抽吸活检所反映的特征，来判断被检者是否患有乳腺癌（细胞组织样本单元由空心细针在皮下肿块中抽得）。 
",,李彦,TRUE,信息与计算科学,2021/11/1
2022xj022,基于统计分析的C4烯烃制备问题研究,FALSE,,,工程实践/应用型,"C4 烯烃广泛应用于化工产品及医药的生产，乙醇是生产制备 C4 烯烃的原料。在制备过程中，催化剂组合（比如Co 负载量、Co/SiO2 和 HAP 装料比、乙醇浓度等）与温度对 C4 烯烃的选择性和 C4 烯烃收率将产生影响。因此通过对催化剂组合设计，探索乙醇催化偶合制备 C4 烯烃的工艺条件具有非常重要的意义和价值。

在本次毕业设计中，我们将使用数据分析、统计分析和机器学习的方法，结合以往的实验数据，根据反应温度、时间、乙醇的转换率、C4烯烃的吸收率建立数学模型，探求催化剂组合和外界环境对生产的影响，从而尽可能提高生产效率和经济效益。
",,李彦,TRUE,信息与计算科学,2021/11/1
2022wl014,光伏方阵倾角的变化对太阳能空调系统的影响分析,FALSE,,,工程实践/应用型,"随着人们对生活环境的要求越来越高，在全球气候变暖的环境下，世界各国对太阳能的重视程度越来越高。太阳能科技的迅猛发展，使得太阳能的应用日新月异，太阳能空调系统就是这种应用的具体实现。掌握当地的太阳辐射资料，对其进行深入研究，就能高效的使用太阳能，让太阳能空调系统的效率最大化。光伏系统设计中，光伏方阵倾角的计算是一门重要的关键技术。太阳能空调系统本身具有自己的特殊性，因此光伏方阵倾角的计算也就有了重要的研究价值。
   本项目主要讨论太阳能空调的关键技术和光伏方阵倾角的计算。
①扎实的太阳辐射量理论知识
②学习和了解太阳能空调的关键技术
③建立太阳辐射量的计算模型
④推导太阳辐射量的计算公式
⑤用C++语言进行程序编写并实例计算
",学生有一定的光伏系统设计基础，较好的理论物理知识和推导能力，很强的C++语言程序设计的技能，并可以独当一面的进行C++程序的设计和完整调试。,葛亮,TRUE,应用物理学,2021/11/1
2022wl018,原子线和分子结中的热流和热电,FALSE,,,基础型,纳米结构的制造和表征要求人们对于热流和热电现象中蕴含的基本物理问题有更深入的理解。本课题要求对分子结和原子线中的热导，热电，局域热及局域温度以及热流密度和温度梯度的关系等基本物理问题给出较详尽的综述。综述不是简单的资料堆砌，而是在充分占有材料的基础上将该领域的基本物理问题进行合理划分，分别加以评述，评述时要兼顾理论和实验的进展，指出现存的问题和有可能改进的方向。希望通过这篇综述，给未来的科研工作带来启迪。,英文较好，对热导，热电领域有较强的兴趣。,蒋锋,TRUE,应用物理学,2021/11/1
2022xj050,数字带通滤波器的设计方法探讨及应用,FALSE,,,基础型,"数字信号处理利用计算机或专用处理设备，以数值计算的方法对信号进行采纳、变换、综合、估值与识别等加工处理，借以达到提取信息和便于应用的目的。数字信号处理具有灵活、精确、抗干扰强、设备尺寸小、造价低、速度快等突出优点，这些都是模拟信号处理系统所False法比拟的。Matlab除了具备卓越的数值计算能力外，它还提供了专业水平的符号计算，文字处理，可视化建模仿真和实时控制等功能。让学生尝试用Matlab进行数字信号处理，来设计实现数字滤波器，可将他们从繁琐的数学运算中解放出来，并加深他们对数字信号处理基本原理、方法及应用的理解，以培养主动获取知识和独立解决问题的能力。通常利用模拟滤波器的理论和设计方法来设计数字滤波器，主要途径是先设计巴特沃斯低通滤波器 ，再通过适当的频率转换转换成所需频段的模拟滤波器，最后通过一定的转换关系 转换成数字滤波器的系统函数 并使其符合设计指标和要求。设计过程中的计算和画图要求用Matlab实现。具体要求如下：1．阅读并熟悉有关Matlab原理及应用方面的一些文献资料。掌握Matlab的基本功能和应用方法，特别是与数字信号处理相关的函数以及Matlab的程序设计方法，最后用自己的语言给出一个简介或综述。2．阅读信号与系统、数字信号处理等方面的相关书籍。熟悉离散时间信号的概念及线性时不变系统的概念；熟悉线性时不变系统的时域和频域表示；熟悉FIR数字滤波器的基本原理；熟悉利用窗函数法等设计FIR数字滤波器的原理。最后给出一个综述或小节。3．尝试用Matlab软件来设计数字高通滤波器并实现过程中的计算和画图。必要时可举例说明
",,王焱平,TRUE,信息与计算科学,2021/11/2
2022xj036,基于Python的汽车价格离群值检测,FALSE,,,基础型,汽车是现代社会不可或缺的交通工具。借助汽车带来的便利，人们可以打破距离的限制，更好地享受生活，某机构向三个行业的出版商、市场和搜索引擎提供数据，这三个行业为汽车、房地产和休闲、住宿和旅游。本问题提供一份来自该机构的二手汽车数据集。数据集共有417个样本，包含价格、已行驶公里数、上市年份、档次、引擎缸数和换挡方式共6个特征。具体特征有表格。这些数据由用户手工录入，容易受到人为失误的影响，比如用户在错误的字段中填写信息，False意中发生错误或输入较大数值等。考虑适当的方法对上述数据集进行离群值检测。,对Python编程有一定的兴趣或是基础,孙园,TRUE,信息与计算科学,2021/11/2
2022xj051,变分法及其在数学建模中的几个应用,FALSE,,,基础型,变分法在处理优化动态模型中是一个有力工具，这时优化目标仍然是一个数值，而最优策略是函数。对于连续过程可归结为求泛函的极值，常用的方法有古典变分法和最优控制理论。最优控制问题是在一定的约束条件下，寻求使性能指标达到极值时的控制函数。当被控制对象的运动特性由向量微分方程来描述，性能指标由泛函来表示时，确定最优控制函数（最优控制律）的问题，就成了在微分方程约束下求泛函的条件极值问题。这里我们主要考虑变分法的方法。变分法是研究泛函极值问题的数学方法，可用于确定容许控制为开集时的最优控制函数。课题要求学习泛函与变分、欧拉方程、横截条件等基本内容。学习并讨论用变分法解最优控制问题，结合实际调研给出应用举例。,"参考文献：1. 最优控制理论在电力系统配网自动化中的应用概述
          2. 有关最优控制理论在电力系统配网自动化中应用研究 
          3. 最优控制理论与应用",王焱平,TRUE,信息与计算科学,2021/11/2
2022xj013,信息率失真函数在数据压缩中的应用,FALSE,,,工程实践/应用型,在实际的通信系统中，信息在信道的传输过程中总会受到噪声和干扰的影响，或多或少总会产生一些失真。随着科学技术的发展，数字系统的应用越来越广泛，就需要传送、存储和处理大量数据，为了提高传送和存储数据的效率，往往需要压缩数据，在一定的失真范围内，信息可以压缩的极限值的研究具有重要现实意义。通过计算信息率失真函数R(D)来研究某一失真条件下编码效率，及可以压缩的极限值具有重要的实用价值。一般采用带参量的迭代法求解R(D)之值，用改进的预估—校正法计算可以减少计算量。,编程能力较强，熟悉数据库,蒋书法,TRUE,信息与计算科学,2021/11/2
2022xj014,ELGAMAL公开密钥体制改进和应用,FALSE,,,工程实践/应用型,为保证公开密钥体制RSA算法的安全性，它的密钥长度需要很长，使得加密和解密计算量都非常大。相比之下，椭圆曲线密码体制可以用小得多的密钥获得同样的安全性，同时椭圆曲线具有丰富的群结构和多选择性，由此具有广泛的应用前景。为提高加密的安全性同时又可以使得计算量增加不太大，利用椭圆曲线ELGAMAL密码体制，选择某密钥长度，对明文进行两次加密，然后再对密文进行两次解密，既可以大大提高安全性，同时计算量又不会增加很多，从而提高效率。,编程能力较强，熟悉数据库,蒋书法,TRUE,信息与计算科学,2021/11/2
2022wl059,石墨烯气溶胶基底CO/Mn-MOF超级电容器,FALSE,,,基础型,"超级电容器是一种被广泛研究的储能装置，它介于传统电容器和电池之间，既具有电容器快速充放电的特性，又具有电池的储能特性，功率密度大、循环寿命长，安全可靠False污染。作为超级电容器常用的电极材料，过渡金属氧化物具有较高的能量密度，但是其导电性差、纳米结构易团聚、比表面积低、活性位点少、充放电过程中材料体积易膨胀、电解质在大尺寸材料中渗透性差，这些问题严重影响了过渡金属氧化物作为超级电容器电极材料的电化学性能，限制了它们的商业化应用。石墨烯也是超级电容器的一种常见的电极材料，它具有二维纳米片状结构和优异的力学性能，是一种很有前途的导电碳材料，将二者复合可有效解决上面所提到的过渡金属化合物作为电极材料所面临的问题。
本课题基于金属-有机框架（MOF）化合物的结构、成分可调性以及热转化产物的多样性等优势，以氧化石墨烯（GO）为基底，通过吸附作用在其上生长超小的 MOF 纳米颗粒，制备 MOF/GO 复合气凝胶，再以 MOF/GO 为前驱体，采用高温热转化的方法制备过渡金属氧化物/石墨烯复合材料。",,朱燕艳,TRUE,应用物理学,2021/11/3
